,aspectRating,aspectSentences,Content,Overall
11,5.0,"[""it's located in the heart of downtown seattle and walking distance to pike place and other downtown spots."", ""i'm not sure if $40/day is the norm in seattle - it is convenient to have the car valet parked - but something to note."", 'overall we were very pleased and would consider staying at the monaco again. ']",very pleasant  agree with all of the positive reviews for the monaco. it's located in the heart of downtown seattle and walking distance to pike place and other downtown spots. rooms were very clean and functional and we loved some of the interesting touches. for example you can request a goldfish as a temporary pet and the faux animal terry robes were very comfortable. the one negative was the parking fee as others have also commented on. i'm not sure if $40/day is the norm in seattle - it is convenient to have the car valet parked - but something to note. overall we were very pleased and would consider staying at the monaco again. ,4.0
12,5.0,"['a great hotel we stayed here in march as we were on a hockey tour.', 'the hotel is literally opposite the arena so was a perfect location for us as we had two matches to go to in the four days we were there.', 'the cost was a little high at $217 per night but the hotel, location and amenities were worth it to us.', ""the hotel's restaurant we only ate once in as food was really expensive, but very good."", 'another nice touch was the wine receptions every evening, which were free receptions for those staying at the hotel.', 'all in all i would recommend this hotel. ']","a great hotel we stayed here in march as we were on a hockey tour. the hotel is literally opposite the arena so was a perfect location for us as we had two matches to go to in the four days we were there. also it is right next to china town (which is nothing to write home about) and also it is not to far from all the tourist attractions. the cost was a little high at $217 per night but the hotel, location and amenities were worth it to us. the hotel's restaurant we only ate once in as food was really expensive, but very good. another nice touch was the wine receptions every evening, which were free receptions for those staying at the hotel. the bathroom needed updating but was perfectly usable and the min bar has to be seen to be believed. all in all i would recommend this hotel. ",4.0
13,4.0,"['a wonderful hotel at a reasonable price i just left the monaco and would say that this hotel has absolutely everything for the business traveller.', 'that alone makes this hotel stand out from most us hotels.', 'the location is good for anyone staying in seattle for a conference, or with a need to be downtown.', 'the convention center is appx 10 miute walk, but conversely, it is closer to the waterfront and pikes place.', 'the bed was large and luxurious, internet (both wired and wifi) available at no charge to guests and with a very good signal.', 'good coffee (but then again, it is seattle...).the gym left a bit to be desired, but it was adequate and what was there was new, clean and in great working order,and it was available 24 hours.', 'and they did have a reciprocal agreement with a full health club nearby.the hotel has a bit of a funky vibe (complete with faux leopard-skin robes in the closet), but not so much as to turn off even the most conservative business traveller.', 'in summary, i would recommend the hotel to anyone heading into downtown seattle for any reason. ']","a wonderful hotel at a reasonable price i just left the monaco and would say that this hotel has absolutely everything for the business traveller. firstly, in all my years of travel, i have never come across such a friendly, welcoming, and inviting staff outside of asia. that alone makes this hotel stand out from most us hotels. but there is much more to recommend it. the location is good for anyone staying in seattle for a conference, or with a need to be downtown. the convention center is appx 10 miute walk, but conversely, it is closer to the waterfront and pikes place. the room was outstanding. the bed was large and luxurious, internet (both wired and wifi) available at no charge to guests and with a very good signal. the desk was adequate size for working and the room itself was not cramped. paper at your door every morning. good coffee (but then again, it is seattle...).the gym left a bit to be desired, but it was adequate and what was there was new, clean and in great working order,and it was available 24 hours. and they did have a reciprocal agreement with a full health club nearby.the hotel has a bit of a funky vibe (complete with faux leopard-skin robes in the closet), but not so much as to turn off even the most conservative business traveller. in summary, i would recommend the hotel to anyone heading into downtown seattle for any reason. ",5.0
14,5.0,['abfab times at the hotel monaco - we miss you belle!'],"abfab times at the hotel monaco - we miss you belle!       belle and belle, too ",5.0
15,3.0,"['overpriced my husband and i stayed here the night of our wedding.', 'the hotel has a boutique feel - the rooms are decorated with a lot of stripes and reminded me of alice in wonderland.', 'the only thing was that the hotel did not provide any bubble bath etc.', 'which would seem normal when offering such a large tub.', 'room service was fast but the selection was limited and the food was okay, not great.', ""overall, i didn't have any problems with hotel monaco - it just didn't seem worth the high price. ""]","overpriced my husband and i stayed here the night of our wedding. we paid $300 for the suite with the jetted two-person jacuzzi tub. the hotel has a boutique feel - the rooms are decorated with a lot of stripes and reminded me of alice in wonderland. the room we had was huge but had a lot of empty space which was a little strange. the jacuzzi tub was huge and could definitely accommodate two people and was like a hot-tub. the only thing was that the hotel did not provide any bubble bath etc. which would seem normal when offering such a large tub. parking was outrageous - $40 a night. we previously paid $19/night at the residence inn. we ended up parking for free overnight at a meter spot. room service was fast but the selection was limited and the food was okay, not great. overall, i didn't have any problems with hotel monaco - it just didn't seem worth the high price. ",3.0
16,5.0,"['a great stay.', 'had a wonderful time at the hotel monaco.', 'the location was excellent, a short stroll to the main downtown shopping area.', ""we didn't partake in the free wine or coffee/tea service in the lobby but thought it was a great feature."", 'great staff all around, very friendly.', 'free wireless internet throughout the hotel which worked in the suite on our 2 laptops.', ""it was so nice to be somewhere that didn't look like a sterile chain hotel, this hotel had personality and we had an excellent stay. ""]","unique! a great stay. had a wonderful time at the hotel monaco. the location was excellent, a short stroll to the main downtown shopping area. pet friendly but the room showed no signs of animal hair, smells, etc. we had a monaco suite and the sleeping area had big striped curtains which could be pulled closed, a nice touch which felt cosy. had a goldfish named brandi who we enjoyed. we didn't partake in the free wine or coffee/tea service in the lobby but thought it was a great feature. great staff all around, very friendly. free wireless internet throughout the hotel which worked in the suite on our 2 laptops. the decor was a lovely, eclectic mix of pattens in the same color palatte. animal print bathrobes made us feel like rock stars. it was so nice to be somewhere that didn't look like a sterile chain hotel, this hotel had personality and we had an excellent stay. ",5.0
17,4.0,"['pleasant stay at the seattle monaco our 2 night weekend getaway at the seattle monaco went off without a hitch.', 'from check-in to check-out, the hotel was a pleasurable jumping off point for our activities around town.']","pleasant stay at the seattle monaco our 2 night weekend getaway at the seattle monaco went off without a hitch. from check-in to check-out, the hotel was a pleasurable jumping off point for our activities around town. comfortable bed, spacious room, nice bathroom.the front desk staff was helpful with suggestions regarding unique places to dine at for both early morning and late night jaunts. ",4.0
18,4.0,"[""good hotel for downtown stay i was here for 5 days/4 nights on a business trip and not having been to seattle before, i didn't know quite what to expect."", 'the hotel overall was a pleasant surprise.', 'i was in a room on 3rd floor facing the street but heard no traffic noise at all.', 'one minor exception was slow delivery of room service coffee one evening, the waiter said there would be no charge.', 'housekeeping was well done.i would definitely consider for another stay on a future visit. ']","good hotel for downtown stay i was here for 5 days/4 nights on a business trip and not having been to seattle before, i didn't know quite what to expect. the hotel overall was a pleasant surprise. it is an older building that has obviously been substantially rennovated. i was in a room on 3rd floor facing the street but heard no traffic noise at all. the room was very well appointed and spacious. the service provided by staff was prompt and friendly, not intrusive or slow at any time. one minor exception was slow delivery of room service coffee one evening, the waiter said there would be no charge. housekeeping was well done.i would definitely consider for another stay on a future visit. ",4.0
19,5.0,"['fan of the hotel monaco seattle just got back from our weekend at the hotel monaco seattle.', ""pros to this hotel: incredibly clean (and i'm a germaphobe so this means clean), hospitable staff, fun design, pet-friendly, and great products (l'occitane) for guests to use."", ""i truly enjoyed our stay, though i'm not sure the rate/night is enough bang for your buck, even in the monte carlo suite."", 'we needed a weekend to relax and wanted a nice room with great room service.', 'we accomplished both at the hotel monaco.']","fan of the hotel monaco seattle just got back from our weekend at the hotel monaco seattle. i did manage to read most of the recent reviews on tripadvisor. pros to this hotel: incredibly clean (and i'm a germaphobe so this means clean), hospitable staff, fun design, pet-friendly, and great products (l'occitane) for guests to use. i truly enjoyed our stay, though i'm not sure the rate/night is enough bang for your buck, even in the monte carlo suite. we needed a weekend to relax and wanted a nice room with great room service. we accomplished both at the hotel monaco. the room service is impeccable and timely. my only issue besides the room rate is that the valet lost my friend's car and it took them 40 minutes to find it...and they only found it because she went looking for it herself. i read the reviews where some guests had issues with noise, but we did not. very, very enjoyable and relaxing. next time, we'll take advantage of some of the spa services. ",4.0
20,5.0,"['absolutely gorgeous hotel everything about this hotel was perfect.', 'the staff were friendly and the location of the hotel was perfect to where we wanted to go.', 'it is within walking distance to pike place, shopping, restaurants etc.', ""i can't fault this hotel i only wish we had more time there. ""]","absolutely gorgeous hotel everything about this hotel was perfect. our room had 2 queen beds and still plenty of space to move. the staff were friendly and the location of the hotel was perfect to where we wanted to go. it is within walking distance to pike place, shopping, restaurants etc. i can't fault this hotel i only wish we had more time there. ",5.0
21,5.0,"['great stay at the hip hotel monaco seattle spent the evening of april 22nd, tuesday.', 'read all the trip advisor reviews before i visited the hotel monaco seattle and was most worried about street noise.', 'stayed on the the 7th floor facing the busy city street, but heard very faint, almost no vehicle noise which i was relieved.', 'the hotel is located in the center of a big busy vibrant city, and i expect to hear a little normal street life noise, but thankfully there was not a noise problem.besides the very cool gym, i also enjoyed the complimentary yoga equipment in my room with the video fitness workouts on tv.', 'loved the fun animal print bathrobes and cool toiletries and the offer of their trademark pet goldfish during my stay.hotel staff was always friendly, from the housekeepers to art and amanda at the concierge  front desks were always smiling and very helpful.', 'complimentary wi-fi in rooms and lobby was another added touch of value.', 'as principle, i get tired of being nickled and dimed by the big hotel chains.', 'i am glad i can honestly recommend the hotel monaco. ']","great stay at the hip hotel monaco seattle spent the evening of april 22nd, tuesday. read all the trip advisor reviews before i visited the hotel monaco seattle and was most worried about street noise. stayed on the the 7th floor facing the busy city street, but heard very faint, almost no vehicle noise which i was relieved. the hotel is located in the center of a big busy vibrant city, and i expect to hear a little normal street life noise, but thankfully there was not a noise problem.besides the very cool gym, i also enjoyed the complimentary yoga equipment in my room with the video fitness workouts on tv. loved the fun animal print bathrobes and cool toiletries and the offer of their trademark pet goldfish during my stay.hotel staff was always friendly, from the housekeepers to art and amanda at the concierge  front desks were always smiling and very helpful. the doormen/valets always with a warm welcome as they opened the doors as guests enter the lobby. evening complimentary wine and beer hour from 5-6pm nightly, and morning coffee in the lobby was a treat. complimentary wi-fi in rooms and lobby was another added touch of value. as principle, i get tired of being nickled and dimed by the big hotel chains. i am glad i can honestly recommend the hotel monaco. ",5.0
22,5.0,"['a great stay it was a great place to stay.', 'the staff gave great suggestions of places to stop while i was in town and were very helpful.', 'the location was very convenient, and i had a great view of the seattle library.i really have no complaints, it was a great stay and the price was excellent. ']","a great stay it was a great place to stay. the staff gave great suggestions of places to stop while i was in town and were very helpful. the location was very convenient, and i had a great view of the seattle library.i really have no complaints, it was a great stay and the price was excellent. ",5.0
24,4.0,"['good location, interesting amenities       view from sitting room into bedroom ']","good location, interesting amenities       view from sitting room into bedroom ",4.0
25,3.0,"['room not what we were expecting i stayed in a queen/queen room with 3 other people.', 'the complimentary happy hour every night between 5-6 was also a great bonus.', 'and overall the hotel was very clean, which is a must for me.', 'it was an okay stay.', ""but i probably wouldn't stay there again, mostly because the room is not what i expected and though it was decent and clean, i guess it's not what i was looking for. ""]","room not what we were expecting i stayed in a queen/queen room with 3 other people. we all agreed that our room looked much nicer, brighter, funkier, warmer online than it did in person. in reality it was dark, and not sure what was going on with the decor- it was very tacky, and not the type of room i felt like hanging out it all day. i felt the bed was comfortable, but my friends felt it was far too soft. the person at the front desk when we first arrived was not very helpful. she was rather snobby and we felt like we were an inconvenience every time we asked her a question.on the plus side, the lobby was very nice. the complimentary happy hour every night between 5-6 was also a great bonus. the bellboy and valet were very friendly and quite helpful when we asked for suggestions on where to eat. and overall the hotel was very clean, which is a must for me. it was an okay stay. but i probably wouldn't stay there again, mostly because the room is not what i expected and though it was decent and clean, i guess it's not what i was looking for. ",3.0
26,4.0,"['great hotel another pet friendly hotel.', 'they even have a resident hotel dog.', '(try not to miss it...they even have beer and non-acoholic drinks) i would pick this hotel over hotel vintage park because they do have a small workout room.']",great hotel another pet friendly hotel. they even have a resident hotel dog. we had a corner room which was large and well appointed. i love the funky chic decor. comfortable reading chaise and lamp. the windows in our bathroom were huge! the had sliding shutters to block out any viewing! it was christmas time and they had a beautiful tree in the lobby and gingerbread house made by the staff. it lent itself to the holiday spirit while we enjoyed the complimentary wine and champagne tasting. (try not to miss it...they even have beer and non-acoholic drinks) i would pick this hotel over hotel vintage park because they do have a small workout room. some of the equipment didn't work...my only complaint...and nothing to wipe the equipment with either. ,4.0
27,4.0,"['great stay what a great stay.', ""it was great walk though and we didn't mind."", 'most activities was within 7 blocks (pike street, waterfront, etc) and great coffee shops along the way.', 'the hotel is well mantained and the foyer is awesome.', 'there are two safes in the hotel which one is located at the service desk and the either is in the room.', 'all in all....great place and i would recommend it to anyone for the price.', 'check online for their deals as they are just as good if not better.']","great stay what a great stay. we went for a seahawk game and it was awesome. the only downfall was the view at the building next to us, but we didn't complain. the room is was huge and the staff was helpful. we booked under the hotels website for the seahawk package. no charge for parking and got a voucher for a taxi. only problem was that the taxi driver didn't want to accept the voucher and barely spoke english. funny thing was is that i speak arabic and called him on it he started making comments about my girlfriend on his cell phone to his buddy. it took him a second to realize what i just said to him and the fact that i could speak his language, his face was priceless. he still was an ass and i told him off. that is to be said about anywhere in a large city. i told the head doorman of the issue and he called the cab company promply for me to get an answer why they didn't take it. he apologized and offered to pay for the taxi. it was only a few bucks as you are 2 miles from the stadium. if you go for any game, plan on a taxi to get there...but the return you are going to be humpin it back. it was great walk though and we didn't mind. it was right before christmas was wonderful to see all the lights. you will see the homeless stowed away in some of the building entrances, but they leave you alone for the most part. police presence is not the greatest in that area as they are down at the stadium. most activities was within 7 blocks (pike street, waterfront, etc) and great coffee shops along the way. the hotel is well mantained and the foyer is awesome. the wine tasting was available in the evening. i will be back and the best part is...you can take your dog. i will be taking my st. bernard with me next time as he is part of the family. there are two safes in the hotel which one is located at the service desk and the either is in the room. bathroom was huge and the jetted tub is huge. the funny part was when house keeping walked in on my girlfriend who was getting dressed. we didn't hear her knock and she was doing turn down service. she screamed, my girlfriend screams and i hit the floor laughing. they started talking spanish at each other and it worked out. all in all....great place and i would recommend it to anyone for the price. check online for their deals as they are just as good if not better. the besite contains deals and vouchers that other travel websites don't tell you about. ",5.0
28,5.0,"['very happy and will stay again came in with my husband, parents and little dog.', 'staff were fantastic and very helpful and catered even to my little shivering dog.great location just a few blocks from the big shopping areas and pike place market. ']","very happy and will stay again came in with my husband, parents and little dog. rooms were spotless, quiet and well furnished. staff were fantastic and very helpful and catered even to my little shivering dog.great location just a few blocks from the big shopping areas and pike place market. ",5.0
