,aspectRating,aspectSentences,Content,Overall
26,5.0,['it was christmas time and they had a beautiful tree in the lobby and gingerbread house made by the staff.'],great hotel another pet friendly hotel. they even have a resident hotel dog. we had a corner room which was large and well appointed. i love the funky chic decor. comfortable reading chaise and lamp. the windows in our bathroom were huge! the had sliding shutters to block out any viewing! it was christmas time and they had a beautiful tree in the lobby and gingerbread house made by the staff. it lent itself to the holiday spirit while we enjoyed the complimentary wine and champagne tasting. (try not to miss it...they even have beer and non-acoholic drinks) i would pick this hotel over hotel vintage park because they do have a small workout room. some of the equipment didn't work...my only complaint...and nothing to wipe the equipment with either. ,4.0
27,4.0,"['most activities was within 7 blocks (pike street, waterfront, etc) and great coffee shops along the way.']","great stay what a great stay. we went for a seahawk game and it was awesome. the only downfall was the view at the building next to us, but we didn't complain. the room is was huge and the staff was helpful. we booked under the hotels website for the seahawk package. no charge for parking and got a voucher for a taxi. only problem was that the taxi driver didn't want to accept the voucher and barely spoke english. funny thing was is that i speak arabic and called him on it he started making comments about my girlfriend on his cell phone to his buddy. it took him a second to realize what i just said to him and the fact that i could speak his language, his face was priceless. he still was an ass and i told him off. that is to be said about anywhere in a large city. i told the head doorman of the issue and he called the cab company promply for me to get an answer why they didn't take it. he apologized and offered to pay for the taxi. it was only a few bucks as you are 2 miles from the stadium. if you go for any game, plan on a taxi to get there...but the return you are going to be humpin it back. it was great walk though and we didn't mind. it was right before christmas was wonderful to see all the lights. you will see the homeless stowed away in some of the building entrances, but they leave you alone for the most part. police presence is not the greatest in that area as they are down at the stadium. most activities was within 7 blocks (pike street, waterfront, etc) and great coffee shops along the way. the hotel is well mantained and the foyer is awesome. the wine tasting was available in the evening. i will be back and the best part is...you can take your dog. i will be taking my st. bernard with me next time as he is part of the family. there are two safes in the hotel which one is located at the service desk and the either is in the room. bathroom was huge and the jetted tub is huge. the funny part was when house keeping walked in on my girlfriend who was getting dressed. we didn't hear her knock and she was doing turn down service. she screamed, my girlfriend screams and i hit the floor laughing. they started talking spanish at each other and it worked out. all in all....great place and i would recommend it to anyone for the price. check online for their deals as they are just as good if not better. the besite contains deals and vouchers that other travel websites don't tell you about. ",5.0
30,5.0,"['the wireless internet access was wonderful until the server went down the morning we were leaving so we had some problems printing our boarding passes.', ""i'm 5'6 and 125 lbs; my husband is 5'9 and 175. the table was smack-against his stomach; and though i had a couple of inches space, it would be mighty uncomfortable if the patron is any larger or pregnant."", ""bad design, in my opinion, though the place is decorated in a funky and welcoming way with metal and wood, and handblown glass light fixtures that you'd expect in seattle, the capital of the us glass art industry.""]","love the monaco and its staff my husband and i stayed in this hotel on a crazy weekend when we were attending a memorial service for my best friend's husband, and we were celebrating our 12th wedding anniversary. talk about mixed emotions. we booked a suite and the hotel put us in the monte carlos one. we were loaned a beautiful fan-tanned goldfish named joliet for the weekend, and we visited with the three dogs who worked the front desk, along with their human companions. the room was decorated nicely (though the couch could have used a few pillows). the l'occitane bath amenities are always a welcome sight. the room was quiet and peaceful. the wireless internet access was wonderful until the server went down the morning we were leaving so we had some problems printing our boarding passes. the afternoon reception serves oenophile-satisfying wine from australia and scrumptious cookies. the restaurant was closed for renovation for a part of our stay but when we finally ate there, the food was good and the drinks were even better. one word of caution on the restaurant: if you are a larger person, do not sit at the booths because you won't fit. i'm 5'6 and 125 lbs; my husband is 5'9 and 175. the table was smack-against his stomach; and though i had a couple of inches space, it would be mighty uncomfortable if the patron is any larger or pregnant. bad design, in my opinion, though the place is decorated in a funky and welcoming way with metal and wood, and handblown glass light fixtures that you'd expect in seattle, the capital of the us glass art industry. we'd definitely stay here again for any reason. ",5.0
31,3.0,"[""warm  we booked our room on seattle supersaver's site, since our normal seattle hotel was booked solid."", 'what a treat---and we may have a new favorite hotel in seattle.staff: fabulous, friendly and helpful!', 'room: spacious, light, roomy, clean and very comfortable.goldfish: the true delight of my daughter.the 5 pm reception in the lobby: warm, inviting--usually i hate those receptions where strangers all get together---but this was nice---light--not pretentious.location: perfect for exploring seattle.we loved it and will definetly return! ']","warm  we booked our room on seattle supersaver's site, since our normal seattle hotel was booked solid. what a treat---and we may have a new favorite hotel in seattle.staff: fabulous, friendly and helpful! room: spacious, light, roomy, clean and very comfortable.goldfish: the true delight of my daughter.the 5 pm reception in the lobby: warm, inviting--usually i hate those receptions where strangers all get together---but this was nice---light--not pretentious.location: perfect for exploring seattle.we loved it and will definetly return! ",5.0
33,5.0,"['my husband and i spent 7 nights at the monaco in early january, 2008. business trip for him - my chance to come along for the ride.we booked a monte carlo suite which proved more than comfortable for our longish stay.', 'an easy walk to pike street market, seattle art museum (which is top notch) and many shopping and dining options.a very positive experience. ']","cozy stay in a rainy city! my husband and i spent 7 nights at the monaco in early january, 2008. business trip for him - my chance to come along for the ride.we booked a monte carlo suite which proved more than comfortable for our longish stay. we were in room 905 which is located on the street side of the building. street noise was not a problem and the view had to be more interesting than that of rooms on the back of the building which look out at a dank alley and the midsection of a large office building. the suite was very comfortable with plenty of room to spread out. the bathroom was attractive and squeaky clean, but rather small in comparison to the generous proportions of the sitting and sleeping areas. lots of comfortable seating options, good lighting and plenty of storage for clothing and luggage. hotel staff were very friendly and efficient. housekeeping staff did a great job and were more than pleasant. all requests were responded to quickly.the location is quite good. an easy walk to pike street market, seattle art museum (which is top notch) and many shopping and dining options.a very positive experience. ",5.0
34,3.0,"['the seattle version is the least ornate out of all i have stayed at, but it still a beautiful hotel.']","soft beds and stocked fridges i have stayed at about 3 of the moncao branded hotels. the seattle version is the least ornate out of all i have stayed at, but it still a beautiful hotel. we stayed 2 nights, and i had gotten a suite with a whirlpool tub to relax. our a/c stopped working and we had to be moved to another room. beware if you get a room with an alley view as the garbage trucks will wake you no matter what floor your are on. the glass was not soundproof as it was touted. staff was friendly and helpful, the valets were quick to get our vehicle parked at their offsite garage.the beds are definatly made for sleeping. very soft and plush, and theminifridges and snack cabinets have everything you could want. i have to say that the rooms do feel quite bland compared to their sister-hotels. i felt as if the room should have cost me about 50-60% of whatit did. overall, i don't think i would stay at this particular hotel again, but i will continue to stay at monacos. i sure love those goldfish. :) ",3.0
35,3.0,"['it has a good, but not completely central position in seattle.', 'all in all a pretty good choice in seattle ']","pretty good in summary i quite like the monaco. it has a good, but not completely central position in seattle. it's a short walk (in a european way) to the centre. the common areas are smallish, but the staff are very friendly and helpful. the bar is part of a popular restaurant so not intimate but does the job nonetheless. the room was good, the decor a little gaudy but if you like an individual style that will suit. the room was not huge but adequate and had most amenities. all in all a pretty good choice in seattle ",4.0
36,4.0,"['my guess this relates to one employee and is not a reflection on the rest of the staff.we received excellent advice from the concierge regarding resturants in the area, the happy hour wine tasting was a nice touch and the staff went out of their way to make you feel at home.great location if you like to be close to good food and shopping, we took in a play at the 5th street theather as well.pikes market, pioneer square and access to the mono rail is within short walking distance. ']","excellent staff ! except housekeeping a quality hotel chocked full of staff that make you feel at home. we experienced exceptional service from the front desk staff, the concierge and the door men, however the maid service needs some work. we found that our maid failed to tuck in our sheets at the foot of the bed and on one instance soiled sheets were used. the staff quickley resolved the soiled sheets issue. my guess this relates to one employee and is not a reflection on the rest of the staff.we received excellent advice from the concierge regarding resturants in the area, the happy hour wine tasting was a nice touch and the staff went out of their way to make you feel at home.great location if you like to be close to good food and shopping, we took in a play at the 5th street theather as well.pikes market, pioneer square and access to the mono rail is within short walking distance. ",4.0
37,5.0,"['superb downtown hotel this is a lovely kimpton property in downtown seattle.', 'the hotel is four blocks away from pike street market, six blocks from the convention center, and four from most downtown shopping.', 'we would definitely recommend this hotel to couples and business travelers (free high-speed wireless internet in all rooms). ']","superb downtown hotel this is a lovely kimpton property in downtown seattle. the hotel is four blocks away from pike street market, six blocks from the convention center, and four from most downtown shopping. we felt safe walking around both day and night. we opted for a suite and the extra room was well worth the extra dollars. we had both a living room and a bedroom separated by heavy drapes. this allowed one of us to work early in the morning without disturbing the other. the room was cleverly decorated, the bed was comfortable with high count cotton sheets. overall, the hotel was quiet with no street noise and very minimal hallway noise.the hotel staff is friendly and helpful. the concierge assisted us with dinner reservations throughout our stay. we would definitely recommend this hotel to couples and business travelers (free high-speed wireless internet in all rooms). ",5.0
39,3.0,['i have actually stayed at this hotel twice for a total of about two weeks.i enjoyed the downtown location and great room.'],"got a goldfish for my room! i have actually stayed at this hotel twice for a total of about two weeks.i enjoyed the downtown location and great room. however, if i had paid for a hotel myself, i wouldn't have splurged on it. i don't recall the exact rate, but it was around $300 per night. ouch! the staff were friendly, but have their hand out for tips at every juncture.valet parking is for the birds. give me a parking lot and i'll get my own car, especially if i have to come and go more than once per day.bottom line: if you have disposable income, this hotel is a place where you can feel pampered, but i'll stick to other options. ",4.0
40,5.0,"['lovely staff, great for business i stayed at the hotel monaco seattle during a conference for work.']","lovely staff, great for business i stayed at the hotel monaco seattle during a conference for work. i otherwise probably would not have been able to stay there for four nights (it isn't cheap), but with work paying for it, i got to splurge a little.when i arrived the first night, it was just in time for their nightly wine happy hour. the woman at the desk let me know there were 10 minutes left and that i might want to swing through there before going to my room to get a couple glasses to take up with me. yes indeed!the room was lovely; not as big or as posh as pictured, but i also hadn't reserved a suite. the bed was fantastic. comfy, plush, great bedding. the room had its own temperature controls, so i was able to keep it a little on the cool side, which i prefer.the bathroom was clean and nice. they have l'occitaine products, which i love, so that was a bonus. they have an ironing board, iron, and hairdryer in each room and many things you can request from the front.but the biggest bonus was the staff. every single person was friendly, helpful, and genuine. i needed to receive and send a fax ... no problem (and no charge). i ordered room service one day ($28, ouch!), and the waiter was great. the doormen were consistently friendly. the desk staff was exceptional.makes me wish i could afford to splurge on hotels like this on my own every once in a while! ",5.0
44,5.0,"['i would say the location is not the best in terms of access limited by traffic during rush hours, but this is something beyond their control for now.', 'but for business travelers and for those who want access to everything within 10 minutes of walk, this is an ideal place to stay. ']","awesome place i had stayed there as a part of the week-long conference program. i would say the location is not the best in terms of access limited by traffic during rush hours, but this is something beyond their control for now. the hotel provided an excellent example of what an ideal value for money was.the staff was excellent, they took care of everything before our arrival. the service was prompt and did everything to make us comfortable. food was exceptional, too.of course, the rates might be on a little higher side, and i might not have stayed at this place if i had to pay for myself. but for business travelers and for those who want access to everything within 10 minutes of walk, this is an ideal place to stay. ",5.0
45,5.0,"['bathroom has marble counters and fixtures and floor look very clean and fresh.wine bar from 5-6 is nice, but i was in seattle for work, so it was hard to get to the hotel during this super-short happy hour that literally lasted exactly one hour.overall, an average experience, but the w and fairmont hotels across the street will give a nicer room, in the same location, for comparable prices. ']","just okay nice hotel, but nothing really special. the room decor is hideous. room is very dark and not enough natural light comes through the window, and there are simply too many colors. it was very hard to get comfortable in a room that i felt like was screaming at me. pink and white candy striped wallpaper should be outlawed. too many wall hangings and too many disjointed colors. purple vases didn't match anything in the room and made me feel like i was at mardi gras. the pink, yellow, grey and green floral-and-ivy animal scene patterned chair is ugly, ugly, ugly. a simple wood bed would have been a better choice instead of the sky-blue and gold painted headboard i was given.room, hotel, and restaurant are very clean. staff is super friendly and very attentive. flat screen tv is quite nice. bathroom has marble counters and fixtures and floor look very clean and fresh.wine bar from 5-6 is nice, but i was in seattle for work, so it was hard to get to the hotel during this super-short happy hour that literally lasted exactly one hour.overall, an average experience, but the w and fairmont hotels across the street will give a nicer room, in the same location, for comparable prices. ",3.0
46,5.0,['we were in seattle september 5-9th and had a heck of time finding a hotel.'],"what a treat! we were in seattle september 5-9th and had a heck of time finding a hotel. apparently uw, boise state, wsu and san diego street were in town for football games and brought their entire schools with them! rates were higher than we had hoped for that weekend (should have come over labor day, rates were much cheaper) but the hotel monaco was worth it. be sure to check the event calendar of the city as rates fluctuate dramatically.we booked a monte carlo suite as that was the only room available and it was fantastic for a four night stay. the extra sitting area was more like a funky living room than hotel room. there were curtains that partitioned the bed from the living room but i think they were decoration only (would have been cool if they really closed). the room has bold striped wall paper and a very spacious bathroom.what really made the stay was the staff, they were amazing! i was worried at first because they seemed so young but they were most attentive. the property is small enough that they get to know you and are always trying to help you out.location was good, all hotels that we considerd seemed to be in a 5 block radius so i can't say anyone really has an advantage. we walked everywhere. highly recommended! ",5.0
47,5.0,"['my husband and i stayed in the monaco for 3 nights and had a wonderful time.seattle is an amazingly clean city and the hotel monaco was also spotless.', 'the room however, is perfectly equiped and the bed was really comfortable.the lobby of the hotel is quite impressive and the staff were very friendly.', 'we didnt eat at the hotel restaurant but it was very nice and always very busy.the hotel is ideally situated for seeing all of seattle although, everyone should be aware that seattle is a very hilly city in parts.', 'we had a great stay at the monaco and i would highly recommend it and indeed seattle. ']","very impressed! my husband and i stayed in the monaco for 3 nights and had a wonderful time.seattle is an amazingly clean city and the hotel monaco was also spotless. our room and bathroom were quite small and quite dark but, as we were really only sleeping there, this didnt bother us. the room however, is perfectly equiped and the bed was really comfortable.the lobby of the hotel is quite impressive and the staff were very friendly. we didnt eat at the hotel restaurant but it was very nice and always very busy.the hotel is ideally situated for seeing all of seattle although, everyone should be aware that seattle is a very hilly city in parts. the hotel is in a hilly part of the city!! we had a great stay at the monaco and i would highly recommend it and indeed seattle. ",4.0
49,4.0,"['we happily got upgraded to a king room this time around, which gave us some extra space.', 'we had two wonderful but different meals while in seattle.']","wonderful hotel this is the second time my husband and i have stayed at a monaco hotel. the first was earlier in the same trip when in portland, or. the staff, from the front desk and concierge to the porters and valets, were friendly and helpful from the minute we stepped in the door and throughout our two-night stay. we happily got upgraded to a king room this time around, which gave us some extra space. the parking was a bit exorbitant (i think $29/night as in portland), but the valet service was impeccable and friendly. it was slightly disappointing that breakfast wasn't included, but the food in the attached sazerac was quite good. we had two wonderful but different meals while in seattle. the first night was at the purple cafe and wine bar, which someone told us was fairly new. we ordered a great mix of tapas (ah, to have those goat cheese and pine nut-stuffed dates again) and desserts. the second night was at lampreia. if you don't like nouvelle cuisine or lots of attention, you won't like it, but the food itself made up for small and unusual presentations and slightly smothering service. ",5.0
58,5.0,"[""nice value in seattle stayed here 4 nights in late may 2007. looked for a comparable hilton, marriott, westin in the area for the points/miles, but i couldn't find anything so i gave the monaco a shot.""]","nice value in seattle stayed here 4 nights in late may 2007. looked for a comparable hilton, marriott, westin in the area for the points/miles, but i couldn't find anything so i gave the monaco a shot. was pleasantly surprised -- everything was very nice -- room service was quick and tasty, bed was especially comfortable, and unlike some people here i have nothing but positive things to say about the service. only downside would be the relatively small exercise room (only one treadmill), but heck i was still on east coast time and ran into only one person down there at 5 am during the four days. would definitely stay here again. ",4.0
60,5.0,"['my husband and i traveled with our dog to seattle for a wedding over the memorial day weekend.', 'we loved the complimentary wine and beer in the lobby lounge every afternoon (5 - 6 pm) as it gave us a chance to relax, chat with the staff serving, and mingle with some of the other hotel guests.', 'the room was spacious with a chair and light for reading, in addition to a desk for catching up on some writing or for some work on the computer.', 'we would highly recommend the hotel to anyone traveling to seattle for business or pleasure.']","even the dog loved it! my husband and i traveled with our dog to seattle for a wedding over the memorial day weekend. we wanted a better than average hotel with a central location to fit in a little sightseeing and it needed to be dog-friendly. the hotel monaco on 4th avenue met all our needs perfectly. from the time we checked in to the time of our departure, the hotel staff answered all our questions, spoiled our dog, and took the time to get to know us. we loved the complimentary wine and beer in the lobby lounge every afternoon (5 - 6 pm) as it gave us a chance to relax, chat with the staff serving, and mingle with some of the other hotel guests. the rooms were decorated with a whimsical feel and the typical white terrycloth robes were anything but, each one a different animal print! the bathroom was a generous size, clean, modern, and the complimentary toiletries were by l'occitane. the bed was comfy and covered with a duvet. the room was spacious with a chair and light for reading, in addition to a desk for catching up on some writing or for some work on the computer. we would highly recommend the hotel to anyone traveling to seattle for business or pleasure. hotel monaco is part of the kimpton hotel group and their website is --- ",4.0
61,5.0,"['he said he fixed it and my party went downstairs to take in the free wine/beer tasting.', 'what i liked:the bedsthe cool bath robesthe tvthe in room shampoo/conditioner/lotionthe goldfish sent to your roomthe location - smack dab in the middle of downtown shopping/restaurants/pike st. market and pioneer square/stadiums.']","a good stay... we checked into hotel monaco on thursday, may 24th. drove up to valet and was immediately attended to. check in was fast and easy. the front desk staff was nice and friendly. we were given a room on the 9th floor, i requested a higher room and not to be on the pet floor, days prior.our room was nice, clean and hot. the thermostat was at 78 degrees. we adjusted the setting and nothing worked. we called the front desk and they had some one up in 10 minutes to check. he said he fixed it and my party went downstairs to take in the free wine/beer tasting. (very good and they give you a nice size pour on the wine) i went back to the room to see if it was it had cooled down, it had not. i went to the front desk to see what else they can do. they gave me two options, they can send someone else to fix it again or give me a new room. i decided to not take my chances and get a new room. i asked the front desk manager, since it's an inconvenience pack up and move to a different room if there was any form of compensation they could give us. the hotel comp'd our parking ($31.00) i was satisfied with that. our new room was cool and had a working fan. this was my first visit to a kimpton hotel and overall i was pleased. what i liked:the bedsthe cool bath robesthe tvthe in room shampoo/conditioner/lotionthe goldfish sent to your roomthe location - smack dab in the middle of downtown shopping/restaurants/pike st. market and pioneer square/stadiums. all within walking distance. what i didn't like:the iron - it kept leaking water and didn't work. the bathroom - no fan ",4.0
